date,open,high,low,close,volume,amount
2022-07-11,1980.05,2005.979,1974.376,1988.724,652135950,9598257300.0
2022-07-12,1986.458,1986.458,1929.318,1929.599,815570610,11617685600.0
2022-07-13,1926.156,1930.851,1910.957,1921.59,562446850,8180361800.0
2022-07-14,1925.933,1961.124,1920.902,1947.236,556955700,9552841600.0
2022-07-15,1943.598,1947.424,1903.918,1903.918,636544170,9742618700.0
2022-07-18,1905.464,1942.324,1896.148,1942.324,644047000,10115081500.0
2022-07-19,1943.948,1960.239,1933.594,1956.969,620585990,9282729600.0
2022-07-20,1961.932,1990.616,1961.874,1984.159,640997730,9014439000.0
2022-07-21,1980.387,1992.831,1971.283,1976.614,557563610,7744528600.0
2022-07-22,1977.702,1990.004,1935.664,1951.899,528741300,8042718600.0
2022-07-25,1965.439,1986.538,1953.788,1969.23,552894380,9362819700.0
2022-07-26,1970.214,1970.28,1939.453,1965.177,462903550,7403732500.0
2022-07-27,1959.754,1984.67,1956.807,1977.718,620252520,12551755400.0
2022-07-28,1983.623,1993.994,1974.112,1975.464,544260550,9435492600.0
2022-07-29,1979.634,1979.674,1939.055,1941.665,556047000,10289113900.0
2022-08-01,1941.305,1941.353,1917.701,1930.716,443769500,8006488100.0
2022-08-02,1916.499,1916.499,1822.049,1843.753,688992270,10785383400.0
2022-08-03,1842.849,1876.484,1833.297,1835.188,502487210,7574438300.0
2022-08-04,1846.083,1872.972,1843.885,1872.972,415423850,7514065700.0
2022-08-05,1880.331,1905.493,1877.366,1905.493,431114910,7658509600.0
2022-08-08,1915.148,1931.653,1910.128,1928.368,569796180,8055701700.0
2022-08-09,1928.188,1928.188,1906.104,1916.471,482445340,6402174900.0
2022-08-10,1915.957,1915.957,1897.615,1903.887,417880880,7062412400.0
2022-08-11,1913.252,1948.378,1913.252,1946.69,494527830,8501462500.0
2022-08-12,1947.178,1964.579,1941.942,1956.768,492527600,6769616100.0
2022-08-15,1956.197,1956.197,1939.068,1949.065,418729700,6073010800.0
2022-08-16,1952.894,1955.801,1939.938,1946.011,426182250,9110600300.0
2022-08-17,1957.421,1961.955,1932.733,1948.741,503385050,7193071600.0
2022-08-18,1944.819,1944.819,1924.025,1926.335,528213820,8289588900.0
2022-08-19,1925.708,1938.789,1911.442,1911.442,448053000,7000738100.0
2022-08-22,1909.546,1933.149,1891.889,1928.802,408801720,6885923100.0
2022-08-23,1923.611,1923.745,1908.62,1915.299,393045260,7261233700.0
2022-08-24,1914.455,1918.213,1865.757,1867.163,477680890,6976945900.0
2022-08-25,1870.859,1873.988,1841.079,1868.914,407590190,5997706600.0
2022-08-26,1870.533,1896.847,1866.409,1870.755,390071090,6839364200.0
2022-08-29,1848.555,1870.94,1837.777,1870.345,362093230,5721359100.0
2022-08-30,1876.281,1892.508,1873.841,1884.912,427766550,6626923700.0
2022-08-31,1884.156,1898.667,1860.039,1869.293,558687220,9079031000.0
2022-09-01,1866.557,1892.603,1863.489,1871.944,484452400,7681386300.0
2022-09-02,1875.557,1893.049,1872.223,1883.205,425768620,7105110200.0
2022-09-05,1885.753,1897.318,1867.075,1877.735,397871780,6924537900.0
2022-09-06,1882.376,1884.677,1869.863,1884.236,399231770,6429989200.0
2022-09-07,1877.968,1880.541,1864.534,1875.172,423160910,6954301700.0
