date,open,high,low,close,volume
2003-05-21,3393.626,3440.025,3385.424,3394.144,657076589
2003-05-22,3392.603,3432.297,3362.926,3431.021,693988146
2003-05-23,3439.586,3519.72,3437.729,3478.258,1187766392
2003-05-26,3482.829,3517.17,3481.766,3503.372,972923234
2003-05-27,3504.661,3511.641,3465.694,3488.859,921920219
2003-05-28,3490.613,3514.295,3432.679,3440.522,998732577
2003-05-29,3435.821,3490.655,3415.653,3489.883,1052495385
2003-05-30,3495.484,3521.13,3483.26,3503.691,1058445824
2003-06-02,3502.68,3503.946,3471.723,3498.849,821481025
2003-06-03,3495.141,3514.867,3450.893,3455.367,782371049
2003-06-04,3448.994,3491.845,3421.233,3491.435,938802059
2003-06-05,3491.754,3493.678,3427.188,3433.279,679994517
2003-06-06,3424.878,3424.878,3362.128,3362.301,622025047
2003-06-09,3350.752,3374.03,3324.418,3327.971,514745716
2003-06-10,3326.871,3364.841,3326.871,3347.613,418718044
2003-06-11,3353.078,3412.205,3353.078,3411.096,662851682
2003-06-12,3413.666,3418.829,3380.609,3395.652,550778717
2003-06-13,3395.576,3425.155,3384.613,3402.876,621261781
2003-06-16,3399.237,3404.083,3373.574,3392.778,500407797
2003-06-17,3389.456,3405.646,3369.934,3376.408,465318103
2003-06-18,3378.557,3406.315,3378.198,3381.247,468068321
2003-06-19,3379.522,3388.768,3308.999,3327.294,574957238
2003-06-20,3323.937,3341.751,3300.375,3307.21,445734233
2003-06-23,3302.431,3302.431,3257.296,3258.91,470634491
2003-06-24,3265.997,3278.102,3249.711,3273.454,359962957
2003-06-25,3275.67,3284.34,3243.249,3248.843,408766309
2003-06-26,3243.259,3298.317,3207.708,3286.304,536077644
2003-06-27,3281.574,3286.767,3226.073,3227.625,459148976
2003-06-30,3215.206,3247.57,3202.906,3224.807,357109605
2003-07-01,3223.066,3273.951,3223.066,3226.338,436960505
2003-07-02,3226.86,3264.493,3206.934,3263.961,442100295
2003-07-03,3267.584,3287.386,3257.412,3276.102,387251905
2003-07-04,3277.124,3300.554,3265.793,3280.287,379743510
2003-07-07,3293.294,3320.796,3268.615,3306.697,400518162
2003-07-08,3311.118,3341.248,3310.113,3329.517,444907645
2003-07-09,3330.692,3333.909,3298.023,3306.429,355700756
2003-07-10,3308.518,3398.648,3307.624,3383.054,656705307
2003-07-11,3384.488,3395.321,3366.953,3377.038,455687067
2003-07-14,3378.934,3385.728,3364.895,3378.688,440952091
2003-07-15,3380.673,3419.411,3379.561,3395.917,516105590
2003-07-16,3401.326,3413.261,3387.614,3412.386,450504150
2003-07-17,3414.757,3459.641,3414.757,3443.698,738931837
2003-07-18,3442.506,3445.023,3338.821,3341.503,683331626
2003-07-21,3312.264,3335.188,3290.192,3323.134,596386522
2003-07-22,3335.422,3366.361,3289.922,3328.893,462781134
2003-07-23,3331.97,3355.955,3309.824,3342.719,374171012
2003-07-24,3339.289,3340.579,3309.386,3316.485,332934719
2003-07-25,3312.57,3340.147,3262.674,3276.386,473648755
2003-07-28,3267.239,3272.656,3250.332,3263.608,325802051
2003-07-29,3265.67,3296.799,3265.67,3289.393,300268737
2003-07-30,3293.533,3313.054,3280.32,3303.155,289342177
2003-07-31,3306.524,3331.17,3299.785,3318.418,312182854
2003-08-01,3319.221,3336.664,3298.465,3326.862,397219648
2003-08-04,3329.19,3362.874,3315.349,3362.569,521055891
2003-08-05,3365.304,3376.046,3351.595,3361.25,458590236
2003-08-06,3360.285,3361.389,3338.182,3341.362,434405508
2003-08-07,3341.465,3375.792,3338.862,3346.057,364877072
2003-08-08,3343.065,3346.319,3291.434,3294.31,432986203
2003-08-11,3288.115,3309.586,3271.999,3305.138,295169467
2003-08-12,3304.636,3330.99,3300.71,3318.661,319569589
2003-08-13,3317.884,3320.495,3269.583,3273.86,318467468
2003-08-14,3269.524,3298.594,3247.202,3258.21,384772651
